0001/01/01 00:00:00.000  [M] [log.go:191]  [HTTP] http: TLS handshake error from 127.0.0.1:56924: remote error: tls: unknown certificate
2021/08/15 10:59:53.586  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:59:53] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000541  Go-http-client/1.1
2021/08/15 10:59:53.623  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:59:53] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.037477  Go-http-client/1.1
2021/08/15 11:00:03.585  [M] [router.go:1014]  ::1 - - [15/Aug/2021 11:00:03] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000522  Go-http-client/1.1
2021/08/15 11:00:03.634  [M] [router.go:1014]  ::1 - - [15/Aug/2021 11:00:03] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.049369  Go-http-client/1.1
2021/08/15 11:00:13.586  [M] [router.go:1014]  ::1 - - [15/Aug/2021 11:00:13] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000613  Go-http-client/1.1
2021/08/15 11:00:13.614  [M] [router.go:1014]  ::1 - - [15/Aug/2021 11:00:13] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.028525  Go-http-client/1.1
2021/08/15 11:00:23.587  [M] [router.go:1014]  ::1 - - [15/Aug/2021 11:00:23] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000576  Go-http-client/1.1
2021/08/15 11:00:23.651  [M] [router.go:1014]  ::1 - - [15/Aug/2021 11:00:23] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.065250  Go-http-client/1.1
2021/08/15 11:00:33.587  [M] [router.go:1014]  ::1 - - [15/Aug/2021 11:00:33] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.001284  Go-http-client/1.1
2021/08/15 11:00:33.613  [M] [router.go:1014]  ::1 - - [15/Aug/2021 11:00:33] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.026198  Go-http-client/1.1
2021/08/15 11:00:43.586  [M] [router.go:1014]  ::1 - - [15/Aug/2021 11:00:43] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000575  Go-http-client/1.1
2021/08/15 11:00:43.621  [M] [router.go:1014]  ::1 - - [15/Aug/2021 11:00:43] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.036294  Go-http-client/1.1
2021/08/15 11:00:53.586  [M] [router.go:1014]  ::1 - - [15/Aug/2021 11:00:53] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000578  Go-http-client/1.1
